房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
Yoho West Yoho West Parkside 1B座 37樓 B7室,,"註冊處成交
一手",2房,$477,412 呎,"$11,582",露台 |  | 工作平台
Yoho West Yoho West Parkside 1B座 9樓 B2室,,"註冊處成交
一手",2房,$506,431 呎,"$11,729",露台 |  | 工作平台
Yoho West Yoho West Parkside 1A座 45樓 A6室,,"註冊處成交
一手",1房,$385,303 呎,"$12,713",露台
Yoho West Yoho West Parkside 1B座 43樓 B2室,,"註冊處成交
一手",2房,$697,431 呎,"$16,163",露台 |  | 工作平台
嘉蘭大廈 21樓 B室,,註冊處成交,2房,$430,417 呎,"$10,312",
百福花園 H座 (百祥閣) 8樓 F室,,註冊處成交,2房,$490,547 呎,"$8,958",露台
凱德花園 1座 10樓 E室,,註冊處成交,-,$267,312 呎,"$8,551",
滙都 滙都I 2座 7樓 A07室,,"註冊處成交
一手",2房,$469,423 呎,"$11,085",露台 |  | 工作平台
滙都 滙都I 3座 11樓 A06室,,"註冊處成交
一手",2房,$469,443 呎,"$10,584",露台 |  | 工作平台
Yoho West Yoho West Parkside 1A座 3樓 A5室,,"註冊處成交
一手",2房,$459,410 呎,"$11,185",平台
啟岸 高層 B5室,,成交,1房,$436,268 呎,"$16,272",露台
欣圖軒 4座 9樓 J室,,註冊處成交,2房,$485,485 呎,"$10,000",
天頌苑 L座 ( 頌浩閣 ) 25樓 1室,,註冊處成交,3房,$400,650 呎,"$6,154",
麗城花園 二期 6座 17樓 A室,,註冊處成交,3房,$550,668 呎,"$8,234",
港灣豪庭 二期 10座 47樓 H室,,註冊處成交,2房,$579,369 呎,"$15,691",露台 |  | 工作平台
康德花園 2座 26樓 F室,,註冊處成交,2房,$323,363 呎,"$8,898",
寶林邨 寶德樓 (4座) 23樓 13室,,註冊處成交,開放式,$285,490 呎,"$5,816",露台
漁安苑 G座 ( 瑚安閣 ) 7樓 7室,,註冊處成交,2房,$473,469 呎,"$10,085",露台
沙田第一城 4期 45座 5樓 B室,,註冊處成交,2房,$368,284 呎,"$12,958",
天富苑 E 座 (欣富閣) 28樓 5室,,註冊處成交,3房,$423,650 呎,"$6,506",
沙田第一城 5期 28座 26樓 C室,,註冊處成交,3房,$753,688 呎,"$10,945",
黃埔花園 十一期 13座 10樓 A室,,註冊處成交,2房,$670,505 呎,"$13,267",
金禧花園 4座 11樓 C室,,註冊處成交,2房,$455,314 呎,"$14,490",
御半山 2期 2B座 15樓 A室,,註冊處成交,2房,$515,454 呎,"$11,344",露台 |  | 工作平台
緹岸 1期 2A座 16樓 E室,,註冊處成交,開放式,$180,224 呎,"$8,036",露台
御半山 2期 2B座 15樓 A室,,註冊處成交,2房,$515,454 呎,"$11,344",露台 |  | 工作平台
緹岸 1期 2A座 16樓 E室,,註冊處成交,開放式,$180,224 呎,"$8,036",露台
天富苑 E 座 (欣富閣) 28樓 5室,,註冊處成交,3房,$423,650 呎,"$6,506",
沙田第一城 5期 28座 26樓 C室,,註冊處成交,3房,$753,688 呎,"$10,945",
黃埔花園 十一期 13座 10樓 A室,,註冊處成交,2房,$670,505 呎,"$13,267",
嘉湖山莊 美湖居 06座 低層 F室,,成交,2房,$369,441 呎,"$8,363",
沙田第一城 4期 45座 5樓 B室,,註冊處成交,2房,$368,284 呎,"$12,958",
麗城花園 三期 5座 27樓 H室,,註冊處成交,3房,$672,728 呎,"$9,231",
碧海藍天 2座 低層 H室,,成交,3房,$825,577 呎,"$14,298",
錦英苑 錦達閣 (E座) 15樓 6室,,註冊處成交,3房,$317,554 呎,"$5,718",露台
富安花園 2座 12樓 J室,,註冊處成交,2房,$385,484 呎,"$7,955",
兆禧苑 E座 (樂禧閣) 9樓 1室,,註冊處成交,1房,$288,351 呎,"$8,205",露台
傲玟 3座 12樓 A室,,"註冊處成交
一手",3房,"$2,456","1,118 呎","$21,968",露台 |  | 工作平台
Yoho West Yoho West Parkside 1A座 37樓 A5室,,"註冊處成交
一手",2房,$518,447 呎,"$11,586",露台 |  | 工作平台
聽濤雅苑 1期 11座 中層 F室,,成交,3房,$826,788 呎,"$10,482",
Yoho West Yoho West Parkside 1A座 3樓 A5室,,"註冊處成交
一手",2房,$459,410 呎,"$11,185",平台
Yoho West Yoho West Parkside 1B座 41樓 B6室,,"註冊處成交
一手",2房,$482,408 呎,"$11,815",露台 |  | 工作平台
峻巒 (Park Yoho) Park Yoho Milano 2C期 32A座 低層 B室,,成交,1房,"$13,000",378 呎,$34,平台
南首 7樓 A1室,,"註冊處成交
一手",2房,$595,349 呎,"$17,040",露台 |  | 工作平台
The Yoho Hub The Yoho Hub II 6座 5樓 G室,,"註冊處成交
一手",3房,"$1,148",858 呎,"$13,381",露台 |  | 工作平台
滙都 滙都I 2座 7樓 A07室,,"註冊處成交
一手",2房,$469,423 呎,"$11,085",露台 |  | 工作平台
滙都 滙都I 3座 11樓 A06室,,"註冊處成交
一手",2房,$469,443 呎,"$10,584",露台 |  | 工作平台
港島南岸 海盈山4A期 2A座 40樓 D室,,"註冊處成交
一手",2房,"$1,778",616 呎,"$28,857",露台 |  | 工作平台
凱和山 3座 10樓 C室,,"註冊處成交
一手",2房,$499,478 呎,"$10,448",露台
荃景花園 2期 12座 2樓 C室,,註冊處成交,2房,$375,431 呎,"$8,701",
名城 1期 3座 7樓 SB室,,註冊處成交,3房,"$1,083",785 呎,"$13,794",露台 |  | 工作平台
喜盈 19樓 E室,,註冊處成交,2房,$660,526 呎,"$12,548",露台 |  | 工作平台
恒富大廈 12樓 D室,,註冊處成交,-,$480,529 呎,"$9,074",
將軍澳中心 二期 10座 18樓 B室,,註冊處成交,2房,$580,438 呎,"$13,242",
兆禧苑 C座 (順禧閣) 20樓 1室,,註冊處成交,1房,$310,363 呎,"$8,540",露台
美孚新邨 八期 百老匯街94號 20樓 D室,,註冊處成交,3房,$729,906 呎,"$8,046",露台
世宙 3座 31樓 J室,,註冊處成交,2房,$555,422 呎,"$13,152",
時代廣場 B座 9樓 3室,,註冊處成交,3房,$428,487 呎,"$8,789",
維港匯 3期 1B座 20樓 A室,,"註冊處成交
一手",2房,"$1,220",524 呎,"$23,282",露台 |  | 工作平台
黃金海灣 珀岸 1A座 22樓 G室,,"註冊處成交
一手",1房,$361,312 呎,"$11,583",露台 |  | 工作平台
堅美樓 1樓,,註冊處成交,-,$334,551 呎,"$6,062",平台
馬頭圍道193號 1樓,,註冊處成交,-,$380,494 呎,"$7,692",
怡峰苑 B座 高層 10室,,成交,2房,$310,407 呎,"$7,617",
美善同道82-86號 2樓 86室,,註冊處成交,-,$504,554 呎,"$9,097",
富華閣 8樓 E室,,註冊處成交,-,$352,501 呎,"$7,026",
大樂樓 3樓 1室,,註冊處成交,-,$280,351 呎,"$7,977",
農圃道18號 高層 B室,,成交,2房,$800,496 呎,"$16,129",露台
牽晴間 08座 低層 D室,,成交,2房,$396,384 呎,"$10,313",
東明樓 3樓 D室,,註冊處成交,-,$280,282 呎,"$9,929",
荃灣中心 天津樓(8座) 20樓 F室,,註冊處成交,2房,$405,425 呎,"$9,529",
Yoho West Yoho West Parkside 1B座 45樓 B6室,,"註冊處成交
一手",2房,$492,408 呎,"$12,053",露台 |  | 工作平台
Yoho West Yoho West Parkside 1A座 6樓 A3室,,"註冊處成交
一手",2房,$489,410 呎,"$11,936",露台 |  | 工作平台
滙都 滙都II 6座 12樓 B09室,,"註冊處成交
一手",1房,$416,340 呎,"$12,229",天台 |  | 露台 |  | 工作平台
皇都 25樓 A3室,,"註冊處成交
一手",2房,$914,439 呎,"$20,820",露台 |  | 工作平台
Coasto 2樓 B室,,"註冊處成交
一手",2房,$810,323 呎,"$25,077",平台
Coasto 20樓 C室,,"註冊處成交
一手",1房,$461,247 呎,"$18,648",露台 |  | 工作平台
曉暉花園 1座 高層 C室,,成交,3房,$719,660 呎,"$10,894",
藍塘傲 7座 高層 K室,,成交,1房,$546,417 呎,"$13,094",露台 |  | 工作平台
御皇庭 第三座 20樓 D室,,註冊處成交,4房,$678,690 呎,"$9,826",露台 |  | 工作平台
Belgravia Place Belgravia Place 第2期 2座 12樓 9室,,"註冊處成交
一手",2房,$565,353 呎,"$15,993",露台 |  | 工作平台
長安邨 安泊樓 高層 3室,,成交,開放式,$247,443 呎,"$5,571",
愉田苑 B座(愉和閣) 6樓 1室,,註冊處成交,2房,$390,466 呎,"$8,369",
新翠花園 4座 18樓 D室,,註冊處成交,3房,$608,508 呎,"$11,969",
藍灣半島 8座 49樓 D室,,註冊處成交,3房,"$1,200",825 呎,"$14,545",
沙田第一城 2期 17座 16樓 B室,,註冊處成交,3房,$480,451 呎,"$10,643",
黃金海灣 意嵐 5A座 5樓 E室,,"註冊處成交
一手",2房,$432,439 呎,"$9,845",露台 |  | 工作平台
峻巒 (Park Yoho) Park Yoho Napoli 2B期 20座 15樓 D室,,註冊處成交,3房,$700,735 呎,"$9,524",露台 |  | 工作平台
萬景峯 5 座 18樓 C室,,註冊處成交,3房,"$1,290",825 呎,"$15,636",露台 |  | 工作平台
港灣豪庭 二期 10座 42樓 D室,,註冊處成交,2房,$550,372 呎,"$14,785",露台 |  | 工作平台
嘉湖山莊 美湖居 7座 25樓 F室,,註冊處成交,2房,$399,441 呎,"$9,043",
翠麗花園 6座 18樓 K室,,註冊處成交,2房,$330,484 呎,"$6,818",
寶林邨 寶德樓 (4座) 11樓 19室,,"註冊處成交
一手",開放式,$38.76,-,-,露台
豪景花園 三期 16座 (景峰閣) 19樓 A室,,註冊處成交,3房,$665,947 呎,"$7,022",
翠華大廈 5座 2樓 126室,,註冊處成交,-,"$1,128","1,518 呎","$7,431",
粉嶺中心 2期 L座 21樓 6室,,註冊處成交,3房,$498,533 呎,"$9,343",
翠林邨 碧林樓(第1座) 8樓 13室,,"註冊處成交
一手",開放式,$36.93,-,-,露台
連方II 17樓 N6室,,"註冊處成交
一手",3房,"$1,413",538 呎,"$26,260",露台 |  | 工作平台
興漢大廈 低層 B室,,成交,3房,$498,484 呎,"$10,289",
御海灣 2期 1座 高層 J室,,成交,3房,"$1,200",677 呎,"$17,725",天台 |  | 平台 |  | 露台 |  | 工作平台
形薈 2座 32樓 F室,,註冊處成交,2房,$815,466 呎,"$17,489",露台 |  | 工作平台
黃金海灣 意嵐 5A座 5樓 E室,,"註冊處成交
一手",2房,$432,439 呎,"$9,845",露台 |  | 工作平台
萬景峯 5 座 18樓 C室,,註冊處成交,3房,"$1,290",825 呎,"$15,636",露台 |  | 工作平台
港灣豪庭 二期 10座 42樓 D室,,註冊處成交,2房,$550,372 呎,"$14,785",露台 |  | 工作平台
嘉湖山莊 美湖居 4座 7樓 B室,,註冊處成交,3房,$480,623 呎,"$7,705",
海濱花園 3座 (海珊閣) 3樓 B室,,註冊處成交,3房,$495,577 呎,"$8,579",
龍蟠苑 B座 中層 5室,,成交,1房,$345,340 呎,"$10,147",
Yoho West Yoho West Parkside 1B座 30樓 B2室,,"註冊處成交
一手",2房,$534,431 呎,"$12,379",露台 |  | 工作平台
福仁大廈 12樓 B室,,註冊處成交,2房,$280,281 呎,"$9,964",天台
鳳德邨 黛鳳樓 ( 第四座 ) 25樓 23室,,註冊處成交,開放式,$284,445 呎,"$6,378",露台
擎天半島 2期 1座 78樓 D室,,註冊處成交,4房,"$3,700","1,409 呎","$26,260",露台
榮英大廈 17樓 3室,,註冊處成交,3房,$785,"1,032 呎","$7,607",露台
承德山莊 2座 26樓 C室,,註冊處成交,3房,"$1,378",765 呎,"$18,013",露台
粉嶺中心 2期 L座 6樓 5室,,註冊處成交,2房,$375,365 呎,"$10,274",
碧湖花園 2座 27樓 D室,,註冊處成交,2房,$418,441 呎,"$9,474",
嘉湖山莊 美湖居 7座 25樓 F室,,註冊處成交,2房,$399,441 呎,"$9,043",
翠麗花園 6座 18樓 K室,,註冊處成交,2房,$330,484 呎,"$6,818",
Yoho West Yoho West Parkside 1B座 46樓 B5室,,"註冊處成交
一手",1房,$375,288 呎,"$13,017",露台
寶林邨 寶德樓 (4座) 11樓 19室,,"註冊處成交
一手",開放式,$38.76,-,-,露台
豪景花園 三期 16座 (景峰閣) 19樓 A室,,註冊處成交,3房,$665,947 呎,"$7,022",
翠林邨 碧林樓(第1座) 8樓 13室,,"註冊處成交
一手",開放式,$36.93,-,-,露台
連方II 17樓 N6室,,"註冊處成交
一手",3房,"$1,413",538 呎,"$26,260",露台 |  | 工作平台
天鑽 07座 低層 C室,,成交,3房,$720,579 呎,"$12,435",露台 |  | 工作平台
南首 23樓 B8室,,"註冊處成交
一手",1房,$568,262 呎,"$21,673",露台 |  | 工作平台
南首 10樓 B9室,,"註冊處成交
一手",1房,$481,261 呎,"$18,418",露台 |  | 工作平台
南首 17樓 A1室,,"註冊處成交
一手",2房,$675,349 呎,"$19,330",露台 |  | 工作平台
南首 20樓 A3室,,"註冊處成交
一手",1房,$537,263 呎,"$20,402",露台 |  | 工作平台
南首 19樓 A2室,,"註冊處成交
一手",2房,$663,342 呎,"$19,376",露台 |  | 工作平台
奕廬 2樓 B室,,註冊處成交,-,"$1,700","1,420 呎","$11,972",
華鴻大樓 2樓 F室,,註冊處成交,-,$220,330 呎,"$6,667",平台
五寶大廈 3樓 E室,,註冊處成交,-,$272,335 呎,"$8,119",
加州豪園 B期(安島徑) 安島徑15號,,註冊處成交,3房,"$1,200","1,495 呎","$8,027",花園 |  | 平台
花園街190號 1樓,,註冊處成交,-,$318,718 呎,"$4,429",平台
天鑽 9座 15樓 H室,,註冊處成交,2房,$582,457 呎,"$12,724",露台 |  | 工作平台
安秀苑 A座 5樓 13室,,"註冊處成交
一手",-,$285,456 呎,"$6,240",
尚柏 10樓 G室,,"註冊處成交
一手",1房,$279,286 呎,"$9,743",露台 |  | 工作平台
Yoho West Yoho West Parkside 1A座 41樓 A6室,,"註冊處成交
一手",1房,$370,303 呎,"$12,196",露台
維景灣畔 1期 01座 低層 D室,,成交,2房,$685,516 呎,"$13,275",
將軍澳中心 二期 03座 低層 H室,,成交,2房,$638,465 呎,"$13,720",
粉嶺名都 1座 高層 H室,,成交,2房,$372,376 呎,"$9,888",
海濱南岸 4座 低層 H室,,成交,3房,$882,590 呎,"$14,949",
宏業大樓 1樓 I室,,註冊處成交,-,$170,270 呎,"$6,296",
美孚新邨 三期 百老匯街58號 2樓 B室,,註冊處成交,4房,$890,"1,066 呎","$8,349",露台
中南大廈 4樓 A室,,註冊處成交,-,$370,523 呎,"$7,075",
峻巒 (Park Yoho) Park Yoho Venezia 1B期 7B座 10樓 D室,,註冊處成交,2房,$552,583 呎,"$9,475",露台 |  | 工作平台
置富花園 H-10座 (富華苑) 23樓 C室,,註冊處成交,3房,$570,588 呎,"$9,694",
啟岸 26樓 D5室,,註冊處成交,開放式,$300,197 呎,"$15,228",露台
Yoho West Yoho West Parkside 1A座 41樓 A6室,,"註冊處成交
一手",1房,$370,303 呎,"$12,196",露台
維景灣畔 1期 01座 低層 D室,,成交,2房,$685,516 呎,"$13,275",
中南大廈 4樓 A室,,註冊處成交,-,$370,523 呎,"$7,075",
置富花園 H-10座 (富華苑) 23樓 C室,,註冊處成交,3房,$570,588 呎,"$9,694",
峻巒 (Park Yoho) Park Yoho Venezia 1B期 7B座 10樓 D室,,註冊處成交,2房,$552,583 呎,"$9,475",露台 |  | 工作平台
寬德大廈 6樓 D室,,註冊處成交,-,$313,333 呎,"$9,399",
滙都 滙都I 2座 9樓 B01室,,"註冊處成交
一手",2房,$483,453 呎,"$10,664",露台 |  | 工作平台
尚逸 26樓 C室,,"註冊處成交
一手",開放式,$520,215 呎,"$24,181",露台 |  | 工作平台
新都城 三期 02座 低層 C室,,成交,2房,$558,406 呎,"$13,744",
綠悠軒 6座 中層 A室,,成交,2房,$418,427 呎,"$9,789",
將軍澳中心 二期 03座 低層 H室,,成交,2房,$638,465 呎,"$13,720",
海欣花園 5座 31樓 F室,,註冊處成交,2房,$580,463 呎,"$12,527",
德福花園 N座 6樓 9室,,註冊處成交,2房,$603,588 呎,"$10,255",
栢慧豪園 一期(栢慧豪園) 2座 46樓 B室,,註冊處成交,2房,$520,502 呎,"$10,359",露台 |  | 工作平台
昇悅居 1座 55樓 D室,,註冊處成交,-,$765,491 呎,"$15,580",
峻瀅 1期 3座 20樓 G室,,註冊處成交,2房,$500,498 呎,"$10,040",露台 |  | 工作平台
將軍澳中心 二期 11座 43樓 D室,,註冊處成交,2房,$572,384 呎,"$14,896",
日輝大廈 12樓 A室,,註冊處成交,2房,$385,364 呎,"$10,577",
港運城 3座 19樓 D室,,註冊處成交,2房,$750,535 呎,"$14,019",
將軍澳中心 一期 5座 51樓 G室,,註冊處成交,3房,$875,690 呎,"$12,681",
雲滙 1期 2座 6樓 A6室,,註冊處成交,2房,$920,732 呎,"$12,568",露台 |  | 工作平台
英明苑 明遠閣 ( A座 ) 32樓 4室,,註冊處成交,3房,$550,645 呎,"$8,527",露台
美樂花園 4座 26樓 A室,,註冊處成交,3房,$420,861 呎,"$4,878",
紅磡花園 1座 5樓 F室,,註冊處成交,2房,$460,386 呎,"$11,917",
昌盛大廈 8樓 B室,,註冊處成交,-,$195,264 呎,"$7,386",
海怡半島 2期 7座 3樓 A室,,註冊處成交,3房,$888,737 呎,"$12,049",
黃金海灣 意嵐 5B座 25樓 G室,,"註冊處成交
一手",開放式,$329,328 呎,"$10,024",露台 |  | 工作平台
NOVO LAND 3B期 Fiskars 第1座 19樓 K室,,"註冊處成交
一手",2房,$554,438 呎,"$12,649",露台 |  | 工作平台
粉嶺名都 1座 高層 H室,,成交,2房,$372,376 呎,"$9,888",
海濱南岸 4座 低層 H室,,成交,3房,$882,590 呎,"$14,949",
宏業大樓 1樓 I室,,註冊處成交,-,$170,270 呎,"$6,296",
美孚新邨 三期 百老匯街58號 2樓 B室,,註冊處成交,4房,$890,"1,066 呎","$8,349",露台
立坊 低層 09室,,成交,-,$416,308 呎,"$13,506",
溱柏 6座 低層 E室,,成交,3房,$627,820 呎,"$7,644",露台 |  | 工作平台
峻巒 (Park Yoho) Park Yoho Napoli 2B期 28座 中層 C室,,成交,2房,$535,524 呎,"$10,210",露台 |  | 工作平台
杏花邨 09座 高層 2室,,成交,3房,$724,595 呎,"$12,165",車位
德福花園 N座 高層 12室,,成交,2房,$568,551 呎,"$10,309",
御皇庭 第一座 1樓 A室,,註冊處成交,2房,$370,370 呎,"$10,000",平台 |  | 露台 |  | 工作平台
利東邨 東昇樓 29樓 9室,,註冊處成交,-,$253,381 呎,"$6,640",
美輪大廈 14樓 B室,,註冊處成交,3房,$476,751 呎,"$6,338",露台
日出康城 領都 5座 L 69樓 B室,,註冊處成交,3房,$750,679 呎,"$11,046",露台 |  | 工作平台
嘉湖山莊 美湖居 3座 32樓 E室,,註冊處成交,2房,$413,441 呎,"$9,361",
愉田苑 D座(愉澤閣) 25樓 8室,,註冊處成交,2房,$394,429 呎,"$9,179",
Yoho West Yoho West Parkside 1A座 31樓 A2室,,"註冊處成交
一手",3房,$622,521 呎,"$11,940",露台 |  | 工作平台
Yoho West Yoho West Parkside 1B座 39樓 B2室,,"註冊處成交
一手",2房,$694,431 呎,"$16,099",露台 |  | 工作平台
淘大花園 3期 P座 高層 8室,,成交,2房,"$13,300",285 呎,$47,
嘉湖山莊 景湖居 4座 12樓 D室,,註冊處成交,3房,$430,547 呎,"$7,861",
綠楊新邨 J座 19樓 2室,,註冊處成交,2房,$518,445 呎,"$11,640",
四季名園 201號屋,,註冊處成交,-,"$1,001",930 呎,"$10,761",花園 |  | 天台
尚譽 22樓 B室,,註冊處成交,開放式,$390,208 呎,"$18,750",露台 |  | 工作平台
滿名山 名庭 9座 (名庭) G樓 A室,,註冊處成交,4房,"$2,338","1,465 呎","$15,959",花園
花園城 三期 雅蘭苑 6樓 A室,,註冊處成交,2房,$353,324 呎,"$10,889",
啟德海灣 啟德海灣 1 2B座 25樓 J室,,"註冊處成交
一手",2房,"$1,067",538 呎,"$19,840",露台 |  | 工作平台
Belgravia Place Belgravia Place 第1期 1A座 15樓 10室,,"註冊處成交
一手",1房,$450,264 呎,"$17,032",露台 |  | 工作平台
高臨 A2座 23樓 H室,,"註冊處成交
一手",2房,$799,382 呎,"$20,927",露台 |  | 工作平台
麗景樓 低層 A室,,成交,-,"$58,000","1,846 呎",$31,車位
西灣大廈 8樓 B室,,註冊處成交,-,$238,226 呎,"$10,531",
僑裕大樓 2樓 D室,,註冊處成交,-,$210,395 呎,"$5,316",
鑽石樓 7樓 C室,,註冊處成交,-,$448,565 呎,"$7,929",
德泰大廈 4樓 I室,,註冊處成交,-,$298,375 呎,"$7,947",
Midtown South Baker Circle．Greenwich 26樓 J室,,註冊處成交,1房,$400,265 呎,"$15,094",露台 |  | 工作平台
Upper Central 23樓 B室,,"註冊處成交
一手",開放式,$436,168 呎,"$25,946",露台
南首 7樓 B8室,,"註冊處成交
一手",1房,$454,262 呎,"$17,325",露台 |  | 工作平台
南首 21樓 A3室,,"註冊處成交
一手",1房,$542,263 呎,"$20,617",露台 |  | 工作平台
南首 6樓 A8室,,"註冊處成交
一手",1房,$444,262 呎,"$16,932",露台 |  | 工作平台
傲雲峰 第六座 高層 H室,,成交,2房,"$19,500",479 呎,$41,露台
月威大廈 2座 G樓 L室,,註冊處成交,-,$418,625 呎,"$6,688",平台
凱滙 I期 1座 中層 L室,,成交,2房,"$24,000",592 呎,$41,露台 |  | 工作平台
